2023-10-23 00:11:40 [background-preinit] INFO  : HV000001: Hibernate Validator 6.1.5.Final
2023-10-23 00:11:40 [main] INFO  : Starting Application on Nitya_Malhotra with PID 21780 (C:\Sprint_project\target\classes started by nidhi in C:\Sprint_project)
2023-10-23 00:11:40 [main] INFO  : No active profile set, falling back to default profiles: default
2023-10-23 00:11:41 [main] INFO  : Bootstrapping Spring Data JPA repositories in DEFERRED mode.
2023-10-23 00:11:41 [main] INFO  : Finished Spring Data repository scanning in 95ms. Found 2 JPA repository interfaces.
2023-10-23 00:11:42 [main] INFO  : Tomcat initialized with port(s): 8000 (http)
2023-10-23 00:11:42 [main] INFO  : Initializing ProtocolHandler ["http-nio-8000"]
2023-10-23 00:11:42 [main] INFO  : Starting service [Tomcat]
2023-10-23 00:11:42 [main] INFO  : Starting Servlet engine: [Apache Tomcat/9.0.38]
2023-10-23 00:11:43 [main] INFO  : Initializing Spring embedded WebApplicationContext
2023-10-23 00:11:43 [main] INFO  : Root WebApplicationContext: initialization completed in 2421 ms
2023-10-23 00:11:43 [main] INFO  : Initializing ExecutorService 'applicationTaskExecutor'
2023-10-23 00:11:43 [main] INFO  : HikariPool-1 - Starting...
2023-10-23 00:11:43 [main] INFO  : HikariPool-1 - Start completed.
2023-10-23 00:11:43 [task-1] INFO  : HHH000204: Processing PersistenceUnitInfo [name: default]
2023-10-23 00:11:43 [task-1] INFO  : HHH000412: Hibernate ORM core version 5.4.21.Final
2023-10-23 00:11:43 [main] WARN  : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-10-23 00:11:44 [task-1] INFO  : HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2023-10-23 00:11:44 [task-1] INFO  : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2023-10-23 00:11:44 [main] INFO  : Starting ProtocolHandler ["http-nio-8000"]
2023-10-23 00:11:44 [main] INFO  : Tomcat started on port(s): 8000 (http) with context path ''
2023-10-23 00:11:44 [main] INFO  : Triggering deferred initialization of Spring Data repositories…
2023-10-23 00:11:45 [task-1] INFO  : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-10-23 00:11:45 [task-1] INFO  : Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-10-23 00:11:46 [main] INFO  : Spring Data repositories initialized!
2023-10-23 00:11:46 [main] INFO  : Started Application in 6.334 seconds (JVM running for 7.781)
